airport,year,passengers
TOTAL AUSTRALIA,2000-01,64801316
TOTAL AUSTRALIA,2001-02,58327094
TOTAL AUSTRALIA,2002-03,61643032
TOTAL AUSTRALIA,2003-04,70149752
TOTAL AUSTRALIA,2004-05,78172676
TOTAL AUSTRALIA,2005-06,82900548
TOTAL AUSTRALIA,2006-07,89945110
TOTAL AUSTRALIA,2007-08,96856094
TOTAL AUSTRALIA,2008-09,98522862
TOTAL AUSTRALIA,2009-10,101576334
TOTAL AUSTRALIA,2010-11,107502744
TOTAL AUSTRALIA,2011-12,108447978
TOTAL AUSTRALIA,2012-13,112494724
TOTAL AUSTRALIA,2013-14,114237876
TOTAL AUSTRALIA,2014-15,113574316
TOTAL AUSTRALIA,2015-16,116182714
TOTAL AUSTRALIA,2016-17,117859850
TOTAL AUSTRALIA,2017-18,120666224
TOTAL AUSTRALIA,2018-19,120976664
TOTAL AUSTRALIA,2019-20,89749172
TOTAL AUSTRALIA,2020-21,42811986
TOTAL AUSTRALIA,2021-22,60099625
TOTAL AUSTRALIA,2022-23,109764794
TOTAL AUSTRALIA,2023-24,116433935
ADELAIDE,2000-01,4178775
ADELAIDE,2001-02,3945287
ADELAIDE,2002-03,4143708
ADELAIDE,2003-04,4643246
ADELAIDE,2004-05,5044788
ADELAIDE,2005-06,5419440
ADELAIDE,2006-07,5740030
ADELAIDE,2007-08,6147926
ADELAIDE,2008-09,6305878
ADELAIDE,2009-10,6492028
ADELAIDE,2010-11,6730958
ADELAIDE,2011-12,6328243
ADELAIDE,2012-13,6461228
ADELAIDE,2013-14,6670865
ADELAIDE,2014-15,6736724
ADELAIDE,2015-16,6920533
ADELAIDE,2016-17,7048437
ADELAIDE,2017-18,7275005
ADELAIDE,2018-19,7306666
ADELAIDE,2019-20,5408757
ADELAIDE,2020-21,2723238
ADELAIDE,2021-22,3677310
ADELAIDE,2022-23,6825287
ADELAIDE,2023-24,7297551
BRISBANE,2000-01,9927901
BRISBANE,2001-02,9297170
BRISBANE,2002-03,9398278
BRISBANE,2003-04,10867634
BRISBANE,2004-05,11874173
BRISBANE,2005-06,12369032
BRISBANE,2006-07,13493903
BRISBANE,2007-08,14312895
BRISBANE,2008-09,14654575
BRISBANE,2009-10,14734215
BRISBANE,2010-11,15634011
BRISBANE,2011-12,16353614
BRISBANE,2012-13,16621746
BRISBANE,2013-14,17013305
BRISBANE,2014-15,16774598
BRISBANE,2015-16,16998050
BRISBANE,2016-17,17053123
BRISBANE,2017-18,17334981
BRISBANE,2018-19,17375423
BRISBANE,2019-20,13100349
BRISBANE,2020-21,7320539
BRISBANE,2021-22,9240477
BRISBANE,2022-23,15804720
BRISBANE,2023-24,16657146
CAIRNS,2000-01,2189727
CAIRNS,2001-02,1951866
CAIRNS,2002-03,2147946
CAIRNS,2003-04,2421524
CAIRNS,2004-05,2692849
CAIRNS,2005-06,2875229
CAIRNS,2006-07,3052519
CAIRNS,2007-08,3121235
CAIRNS,2008-09,3158358
CAIRNS,2009-10,3122860
CAIRNS,2010-11,3348368
CAIRNS,2011-12,3438522
CAIRNS,2012-13,3640113
CAIRNS,2013-14,3826752
CAIRNS,2014-15,3902593
CAIRNS,2015-16,4100946
CAIRNS,2016-17,4250125
CAIRNS,2017-18,4296854
CAIRNS,2018-19,4198110
CAIRNS,2019-20,3021364
CAIRNS,2020-21,2078910
CAIRNS,2021-22,2605915
CAIRNS,2022-23,3881921
CAIRNS,2023-24,4035800
CANBERRA,2000-01,2107219
CANBERRA,2001-02,1841302
CANBERRA,2002-03,1916351
CANBERRA,2003-04,2303422
CANBERRA,2004-05,2476709
CANBERRA,2005-06,2550129
CANBERRA,2006-07,2687336
CANBERRA,2007-08,2853480
CANBERRA,2008-09,3061859
CANBERRA,2009-10,3258396
CANBERRA,2010-11,3240848
CANBERRA,2011-12,3158685
CANBERRA,2012-13,3013960
CANBERRA,2013-14,2857618
CANBERRA,2014-15,2804791
CANBERRA,2015-16,2830986
CANBERRA,2016-17,2949489
CANBERRA,2017-18,3085790
CANBERRA,2018-19,3130901
CANBERRA,2019-20,2292438
CANBERRA,2020-21,1044592
CANBERRA,2021-22,1286179
CANBERRA,2022-23,2711644
CANBERRA,2023-24,2794200
GOLD COAST,2000-01,1854209
GOLD COAST,2001-02,1669171
GOLD COAST,2002-03,2041572
GOLD COAST,2003-04,2366622
GOLD COAST,2004-05,2982327
GOLD COAST,2005-06,3304526
GOLD COAST,2006-07,3585036
GOLD COAST,2007-08,4062263
GOLD COAST,2008-09,4142692
GOLD COAST,2009-10,4456213
GOLD COAST,2010-11,4714372
GOLD COAST,2011-12,4601566
GOLD COAST,2012-13,4922473
GOLD COAST,2013-14,4908227
GOLD COAST,2014-15,4988466
GOLD COAST,2015-16,5251203
GOLD COAST,2016-17,5352189
GOLD COAST,2017-18,5471000
GOLD COAST,2018-19,5446002
GOLD COAST,2019-20,4088130
GOLD COAST,2020-21,1966987
GOLD COAST,2021-22,2914549
GOLD COAST,2022-23,5393395
GOLD COAST,2023-24,5613782
HOBART,2000-01,973922
HOBART,2001-02,957611
HOBART,2002-03,1009605
HOBART,2003-04,1225645
HOBART,2004-05,1522838
HOBART,2005-06,1605978
HOBART,2006-07,1629417
HOBART,2007-08,1758241
HOBART,2008-09,1869262
HOBART,2009-10,1855871
HOBART,2010-11,1903165
HOBART,2011-12,1814637
HOBART,2012-13,2026551
HOBART,2013-14,2106642
HOBART,2014-15,2186358
HOBART,2015-16,2312939
HOBART,2016-17,2440792
HOBART,2017-18,2596096
HOBART,2018-19,2725559
HOBART,2019-20,2073863
HOBART,2020-21,1037276
HOBART,2021-22,1503838
HOBART,2022-23,2499913
HOBART,2023-24,2651674
MELBOURNE,2000-01,13628580
MELBOURNE,2001-02,12663944
MELBOURNE,2002-03,13245878
MELBOURNE,2003-04,15029540
MELBOURNE,2004-05,16130302
MELBOURNE,2005-06,16787596
MELBOURNE,2006-07,17737320
MELBOURNE,2007-08,19281305
MELBOURNE,2008-09,19617389
MELBOURNE,2009-10,20446172
MELBOURNE,2010-11,21749355
MELBOURNE,2011-12,21298613
MELBOURNE,2012-13,22504752
MELBOURNE,2013-14,23229895
MELBOURNE,2014-15,23524659
MELBOURNE,2015-16,24426026
MELBOURNE,2016-17,24928048
MELBOURNE,2017-18,25534599
MELBOURNE,2018-19,25707624
MELBOURNE,2019-20,18851200
MELBOURNE,2020-21,5889649
MELBOURNE,2021-22,10920847
MELBOURNE,2022-23,22328983
MELBOURNE,2023-24,23879584
PERTH,2000-01,3554930
PERTH,2001-02,3168747
PERTH,2002-03,3615822
PERTH,2003-04,4154561
PERTH,2004-05,4579101
PERTH,2005-06,5025504
PERTH,2006-07,5785370
PERTH,2007-08,6474249
PERTH,2008-09,6759279
PERTH,2009-10,7010711
PERTH,2010-11,7644447
PERTH,2011-12,8527036
PERTH,2012-13,9090269
PERTH,2013-14,8880149
PERTH,2014-15,8545141
PERTH,2015-16,8284939
PERTH,2016-17,8026092
PERTH,2017-18,8064113
PERTH,2018-19,8071468
PERTH,2019-20,6137146
PERTH,2020-21,3174324
PERTH,2021-22,4275239
PERTH,2022-23,7978005
PERTH,2023-24,8456662
SYDNEY,2000-01,17276126
SYDNEY,2001-02,15181956
SYDNEY,2002-03,15693539
SYDNEY,2003-04,17495258
SYDNEY,2004-05,18679474
SYDNEY,2005-06,19328709
SYDNEY,2006-07,20891777
SYDNEY,2007-08,22140124
SYDNEY,2008-09,22004344
SYDNEY,2009-10,23350952
SYDNEY,2010-11,24314054
SYDNEY,2011-12,23969494
SYDNEY,2012-13,24984953
SYDNEY,2013-14,25390865
SYDNEY,2014-15,25513348
SYDNEY,2015-16,26563235
SYDNEY,2016-17,27054460
SYDNEY,2017-18,27603837
SYDNEY,2018-19,27468585
SYDNEY,2019-20,20070432
SYDNEY,2020-21,7269627
SYDNEY,2021-22,10610158
SYDNEY,2022-23,23257644
SYDNEY,2023-24,24720397
